ID,SEX,AGE,FO,TIP,dzh1_1,dzh1_2,dzh1_3,dzh1_4,dzh1_5,dzh1_6,dzh1_7,dzh1_8,dzh1_9,dzh1_10,dzh1_11,dzh1_12,dzh2_1,dzh2_2,dzh2_3,dzh2_4,dzh2_5,dzh2_6,dzh2_7,dzh2_8,dzh2_9,dzh2_10,dzh2_11,dzh2_12,dzh3,dzh4,dzh5_1,dzh5_2,dzh5_3,dzh5_4,dzh5_5,dzh5_6,dzh5_7,dzh5_8,dzh5_9,dzh5_10,dzh5_11,dzh5_12,dzh5_13,TV,d1,EDU,DOHOD_0,PROF1,PROF2,PROF3,weight1
07cff176410cef03,Мужской,23.0,Центральный федеральный округ,Село,Беспородная собака,,,,,,,,,,,,Ничего,,,,,,,,,,,,Нет,5- полностью удовлетворен,,,,,,,,,,,,,,"Редко, но не менее одного раза в полгода",Провожу в интернете более четырех часов ежедневно,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Транспортировка и хранение (складское хозяйство) Включает в том числе: Перевозка грузов, ж/д, авиа, водный, космическ...",1.8122982020794063
07cfd2f75c4ce44a,Мужской,19.0,Южный федеральный округ,Село,"Нет, домашних животных нет",,,,,,,,,,,,,,,,,,,,,,,,,,Выгул агрессивных собак без намордника,"Отсутствие уборки за собаками в доме (в лифте, в подъезде)",,,,,,,,,,,,Не смотрю,Провожу в интернете более четырех часов ежедневно,Основное общее образование: окончил 9 (раньше 8) классов,Плохое,"Работающий учащийся, студент","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Информационные технологии, связь, интернет Включает в том числе: Программирование /создание программного обеспечения,...",1.7840972642339827
07cfe3a74a4ce856,Мужской,18.0,Южный федеральный округ,Село,Беспородная кошка,,,,,,,,,,,,Ничего,,,,,,,,,,,,Нет,,,,,,,,,,,,,,,Не смотрю,Провожу в интернете более четырех часов ежедневно,Среднее общее (10 или 11 классов школы с аттестатом),Среднее,"Работающий учащийся, студент","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Торговля (оптовая, розничная, онлайн продажи; в т.ч. - недвижимость) Включает в том числе: Магазин, автосалон, аукцио...",1.7840972642339827
07cff603cf0ce5d1,Мужской,23.0,Южный федеральный округ,Село,"Нет, домашних животных нет",,,,,,,,,,,,,,,,,,,,,,,,,,Ничего не беспокоило,,,,,,,,,,,,,"Редко, но не менее одного раза в полгода",Eжедневно менее четырех часов в день,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,Самозанятый,,Затрудняюсь ответить,1.7840972642339827
07d01376d30ce717,Мужской,24.0,Южный федеральный округ,Село,Породистая собака,Беспородная кошка,,,,,,,,,,,Ничего,,,,,,,,,,,,Нет,1 – совершенно не удовлетворен,,,,,,,,,,,,,,Не смотрю,Eжедневно менее четырех часов в день,"Среднее профессиональное (техникум, колледж, ПТУ)",Хорошее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Строительство Включает в том числе: архитектура, проектирование, дизайн интерьера",1.7840972642339827
07d01409eeccefb8,Мужской,23.0,Южный федеральный округ,Село,Породистая кошка,,,,,,,,,,,,"Магазины, в которых можно находиться с животными",Зоомагазины,ГрУминг-салоны (уход за животными),Ветеринарные клиники,,,,,,,,,Нет,,,,,,,,,,,,,,,Не смотрю,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Очень хорошее,"Работающий учащийся, студент",Затрудняюсь ответить/ отказ от ответа,"Информационные технологии, связь, интернет Включает в том числе: Программирование /создание программного обеспечения,...",1.7148386102817814
07cfc428a38ce74f,Мужской,23.0,Уральский федеральный округ,Село,Беспородная собака,Беспородная кошка,,,,,,,,,,,Ветеринарные клиники,Специализированные урны для утилизации отходов жизнедеятельности собак,,,,,,,,,,,Нет,5- полностью удовлетворен,,,,,,,,,,,,,,"Редко, но не менее одного раза в полгода",Провожу в интернете более четырех часов ежедневно,Основное общее образование: окончил 9 (раньше 8) классов,Очень хорошее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...",Затрудняюсь ответить,1.8290303787767743
07cffc3d254ce90b,Мужской,23.0,Уральский федеральный округ,Село,Породистая кошка,,,,,,,,,,,,Зоомагазины,,,,,,,,,,,,Нет,,,,,,,,,,,,,,,Не смотрю,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...",Затрудняюсь ответить/ отказ от ответа,Затрудняюсь ответить,1.6190924207545914
07cfe85cad0cee64,Мужской,22.0,Северо-Западный федеральный округ,Город с численностью менее 50 тысяч,Породистая собака,Беспородная кошка,,,,,,,,,,,Ветеринарные клиники,,,,,,,,,,,,"Да, время от времени",5- полностью удовлетворен,,,,,,,,,,,,,,Не смотрю,Провожу в интернете более четырех часов ежедневно,Среднее общее (10 или 11 классов школы с аттестатом),Среднее,"Неработающий учащийся, студент",,,1.2381287376187196
07cff94ab90ce2d7,Мужской,18.0,Северо-Западный федеральный округ,Город с численностью менее 50 тысяч,Другое,,,,,,,,,,,,Ветеринарные клиники,,,,,,,,,,,,Нет,,,,,,,,,,,,,,,Не смотрю,Eжедневно менее четырех часов в день,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Хорошее,"Неработающий учащийся, студент",,,1.0289865238490161
07d01895440cea89,Мужской,22.0,Южный федеральный округ,Город с численностью менее 50 тысяч,"Нет, домашних животных нет",,,,,,,,,,,,,,,,,,,,,,,,,,Ничего не беспокоило,,,,,,,,,,,,,Не смотрю,Не пользуюсь,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,"Работающий учащийся, студент",Затрудняюсь ответить/ отказ от ответа,Затрудняюсь ответить,1.2345837624491072
07d01e77914ceab2,Мужской,20.0,Южный федеральный округ,Город с численностью от 50 тысяч до 100 тысяч,Беспородная собака,,,,,,,,,,,,Ветеринарные клиники,ГрУминг-салоны (уход за животными),"Кафе, в которых можно находиться с животными","Магазины, в которых можно находиться с животными",,,,,,,,,Нет,4,,,,,,,,,,,,,,Не смотрю,Провожу в интернете более четырех часов ежедневно,"Среднее профессиональное (техникум, колледж, ПТУ)",Хорошее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Работаю в правоохранительных органах, вооруженных силах, МЧС","Правоохранительные органы, силовые структуры, МЧС, военная служба Включает в том числе: Полиция, росгвардия, пожарно-...",1.2345837624491072
07d02953bdcce4af,Мужской,18.0,Южный федеральный округ,Поселок городского типа,Беспородная собака,Породистая кошка,,,,,,,,,,,Ничего,,,,,,,,,,,,Нет,Затрудняюсь ответить,,,,,,,,,,,,,,Не смотрю,Eжедневно менее четырех часов в день,Среднее общее (10 или 11 классов школы с аттестатом),Среднее,"Работающий учащийся, студент","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Общественное питание, ресторанный и гостиничный бизнес Включает в том числе: Кафе, ресторан, доставка продуктов питан...",1.2345837624491072
07cfe7811b0cecd5,Мужской,18.0,Приволжский федеральный округ,Город с численностью от 50 тысяч до 100 тысяч,Беспородная кошка,,,,,,,,,,,,Ветеринарные клиники,"Магазины, в которых можно находиться с животными",,,,,,,,,,,Не бываю с питомцем в общественных местах,,,,,,,,,,,,,,,Не смотрю,Eжедневно менее четырех часов в день,Среднее общее (10 или 11 классов школы с аттестатом),Плохое,"Работающий учащийся, студент","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Транспортировка и хранение (складское хозяйство) Включает в том числе: Перевозка грузов, ж/д, авиа, водный, космическ...",1.2068564628686054
07cfe7bf854ce043,Мужской,22.0,Приволжский федеральный округ,Город с численностью менее 50 тысяч,Породистая собака,Беспородная собака,,,,,,,,,,,Ветеринарные клиники,Зоомагазины,,,,,,,,,,,Нет,3,,,,,,,,,,,,,,Не смотрю,Провожу в интернете более четырех часов ежедневно,Среднее общее (10 или 11 классов школы с аттестатом),Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Работаю в правоохранительных органах, вооруженных силах, МЧС","Правоохранительные органы, силовые структуры, МЧС, военная служба Включает в том числе: Полиция, росгвардия, пожарно-...",1.2068564628686054
07cfd8a349ccef16,Мужской,19.0,Уральский федеральный округ,Поселок городского типа," Мелкие животные (хомячки, морские свинки, черепашки и т.п.)",Породистая кошка,Породистая собака,,,,,,,,,,Специально огороженные площадки для выгула или занятий домашних животных,Стойки с пакетами для уборки за собаками,"Магазины, в которых можно находиться с животными",ГрУминг-салоны (уход за животными),Зоомагазины,Специализированные урны для утилизации отходов жизнедеятельности собак,"Кафе, в которых можно находиться с животными",Ветеринарные клиники,Лапомойки в доме,,,,"Да, время от времени",5- полностью удовлетворен,,,,,,,,,,,,,,Смотрю более четырех часов ежедневно,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Очень хорошее,"Работающий учащийся, студент","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Промышленность, производство (в т.ч. добывающие, обрабатывающие отрасли, энергетика) Включает в том числе: Завод, ком...",1.1204014784621528
07cfd3946a8cefe7,Мужской,19.0,Сибирский федеральный округ,Город с численностью менее 50 тысяч,Породистая кошка,Беспородная кошка,,,,,,,,,,,Зоомагазины,,,,,,,,,,,,Не бываю с питомцем в общественных местах,,,,,,,,,,,,,,,Не смотрю,Eжедневно менее четырех часов в день,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,"Работающий учащийся, студент","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Торговля (оптовая, розничная, онлайн продажи; в т.ч. - недвижимость) Включает в том числе: Магазин, автосалон, аукцио...",1.2622743945375496
07d00c68530ce0c1,Мужской,24.0,Центральный федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,Породистая собака,,,,,,,,,,,,Зоомагазины,"Магазины, в которых можно находиться с животными",,,,,,,,,,,Нет,4,,,,,,,,,,,,,,Не смотрю,Провожу в интернете более четырех часов ежедневно,"Среднее профессиональное (техникум, колледж, ПТУ)",Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Работаю в правоохранительных органах, вооруженных силах, МЧС","Правоохранительные органы, силовые структуры, МЧС, военная служба Включает в том числе: Полиция, росгвардия, пожарно-...",1.1479714809678758
07d01187304ce71c,Мужской,18.0,Центральный федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,Породистая кошка,,,,,,,,,,,,Специально огороженные площадки для выгула или занятий домашних животных,Ветеринарные клиники,"Кафе, в которых можно находиться с животными",,,,,,,,,,Нет,,,,,,,,,,,,,,,"Редко, но не менее одного раза в полгода",Провожу в интернете более четырех часов ежедневно,Среднее общее (10 или 11 классов школы с аттестатом),Хорошее,"Неработающий учащийся, студент",,,1.1479714809678758
07d01f346e8ce2f7,Мужской,20.0,Центральный федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,Беспородная кошка,,,,,,,,,,,,Зоомагазины,,,,,,,,,,,,Не бываю с питомцем в общественных местах,,,,,,,,,,,,,,,Не смотрю,Провожу в интернете более четырех часов ежедневно,Незаконченное высшее (с 3-го курса вуза) или законченное высшее,Среднее,"Работающий учащийся, студент","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Сельское, лесное хозяйство, охота, рыболовство и рыбоводство Включает в том числе: Фермерское хозяйство, скотобойни, ...",1.1265334789439652
07cfd7a87ecce5fc,Мужской,24.0,Центральный федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,"Нет, домашних животных нет",,,,,,,,,,,,,,,,,,,,,,,,,,Выгул агрессивных собак без намордника,,,,,,,,,,,,,Не смотрю,Провожу в интернете более четырех часов ежедневно,"Среднее профессиональное (техникум, колледж, ПТУ)",Плохое,Самозанятый,,"Торговля (оптовая, розничная, онлайн продажи; в т.ч. - недвижимость) Включает в том числе: Магазин, автосалон, аукцио...",1.0071008567882522
07cff423008ce3e7,Мужской,24.0,Центральный федеральный округ,Город с численностью от 100 тысяч до 500 тысяч,Беспородная собака,Беспородная кошка,,,,,,,,,,,Ветеринарные клиники,Специально огороженные площадки для выгула или занятий домашних животных,,,,,,,,,,,"Да, время от времени",2,,,,,,,,,,,,,,Не смотрю,Eжедневно менее четырех часов в день,Среднее общее (10 или 11 классов школы с аттестатом),Среднее,"Работаю по договору, контракту в найме (за исключением находящихся в декретном отпуске, подрабатывающих студентов, пе...","Я работаю в КОММЕРЧЕСКОЙ организации, ее цель – получить прибыль (например, магазин, завод, фермерское хозяйство, АО/...","Торговля (оптовая, розничная, онлайн продажи; в т.ч. - недвижимость) Включает в том числе: Магазин, автосалон, аукцио...",1.0071008567882522
