column,value
SEX,Мужской
SEX,Женский
FO,Центральный федеральный округ
FO,Южный федеральный округ
FO,Уральский федеральный округ
FO,Северо-Западный федеральный округ
FO,Приволжский федеральный округ
FO,Сибирский федеральный округ
FO,Северо-Кавказский федеральный округ
FO,Дальневосточный федеральный округ
TIP,Село
TIP,Город с численностью менее 50 тысяч
TIP,Город с численностью от 50 тысяч до 100 тысяч
TIP,Поселок городского типа
TIP,Город с численностью от 100 тысяч до 500 тысяч
TIP,Город с численностью от 500 тысяч до 950 тысяч
TIP,Город с численностью жителей миллион и более человек
dzh1_1,Беспородная собака
dzh1_1,"Нет, домашних животных нет"
dzh1_1,Беспородная кошка
dzh1_1,Породистая собака
dzh1_1,Породистая кошка
dzh1_1,Другое
dzh1_1," Мелкие животные (хомячки, морские свинки, черепашки и т.п.)"
dzh1_1,"Домашний скот (куры, коровы, козы и т.п.) (из другого)"
dzh1_1,Затрудняюсь ответить
dzh1_1,"Экзотические животные (змеи, ящерицы, обезьяны, крокодилы и пр.)"
dzh1_1,Декоративные птицы
dzh1_1,Аквариумные рыбки
dzh1_2,
dzh1_2,Беспородная кошка
dzh1_2,Породистая кошка
dzh1_2,Беспородная собака
dzh1_2,Декоративные птицы
dzh1_2," Мелкие животные (хомячки, морские свинки, черепашки и т.п.)"
dzh1_2,Породистая собака
dzh1_2,Аквариумные рыбки
dzh1_2,"Домашний скот (куры, коровы, козы и т.п.) (из другого)"
dzh1_2,Другое
dzh1_2,"Экзотические животные (змеи, ящерицы, обезьяны, крокодилы и пр.)"
dzh1_3,
dzh1_3,Породистая собака
dzh1_3,Породистая кошка
dzh1_3,Другое
dzh1_3,Беспородная кошка
dzh1_3,"Домашний скот (куры, коровы, козы и т.п.) (из другого)"
dzh1_3,Декоративные птицы
dzh1_3," Мелкие животные (хомячки, морские свинки, черепашки и т.п.)"
dzh1_3,Аквариумные рыбки
dzh1_3,Беспородная собака
dzh1_3,"Экзотические животные (змеи, ящерицы, обезьяны, крокодилы и пр.)"
dzh1_4,
dzh1_4,Беспородная собака
dzh1_4,Породистая кошка
dzh1_4,"Домашний скот (куры, коровы, козы и т.п.) (из другого)"
dzh1_4," Мелкие животные (хомячки, морские свинки, черепашки и т.п.)"
dzh1_4,Беспородная кошка
dzh1_4,Аквариумные рыбки
dzh1_4,Декоративные птицы
dzh1_4,Породистая собака
dzh1_4,"Экзотические животные (змеи, ящерицы, обезьяны, крокодилы и пр.)"
dzh1_4,Затрудняюсь ответить
dzh1_5,
dzh1_5,Породистая кошка
dzh1_5,Затрудняюсь ответить
dzh1_5,"Экзотические животные (змеи, ящерицы, обезьяны, крокодилы и пр.)"
dzh1_5," Мелкие животные (хомячки, морские свинки, черепашки и т.п.)"
dzh1_6,
dzh1_6," Мелкие животные (хомячки, морские свинки, черепашки и т.п.)"
dzh1_6,Беспородная кошка
dzh1_6,Декоративные птицы
dzh1_7,
dzh1_8,
dzh1_9,
dzh1_10,
dzh1_11,
dzh1_12,
dzh2_1,Ничего
dzh2_1,
dzh2_1,"Магазины, в которых можно находиться с животными"
dzh2_1,Ветеринарные клиники
dzh2_1,Зоомагазины
dzh2_1,Специально огороженные площадки для выгула или занятий домашних животных
dzh2_1,ГрУминг-салоны (уход за животными)
dzh2_1,Лапомойки в доме
dzh2_1,"Кафе, в которых можно находиться с животными"
dzh2_1,Затрудняюсь ответить
dzh2_1,Стойки с пакетами для уборки за собаками
dzh2_1,Специализированные урны для утилизации отходов жизнедеятельности собак
dzh2_2,
dzh2_2,Зоомагазины
dzh2_2,Специализированные урны для утилизации отходов жизнедеятельности собак
dzh2_2,ГрУминг-салоны (уход за животными)
dzh2_2,"Магазины, в которых можно находиться с животными"
dzh2_2,Стойки с пакетами для уборки за собаками
dzh2_2,Ветеринарные клиники
dzh2_2,Специально огороженные площадки для выгула или занятий домашних животных
dzh2_2,"Кафе, в которых можно находиться с животными"
dzh2_2,Лапомойки в доме
dzh2_3,
dzh2_3,ГрУминг-салоны (уход за животными)
dzh2_3,"Кафе, в которых можно находиться с животными"
dzh2_3,"Магазины, в которых можно находиться с животными"
dzh2_3,Зоомагазины
dzh2_3,Стойки с пакетами для уборки за собаками
dzh2_3,Ветеринарные клиники
dzh2_3,Специально огороженные площадки для выгула или занятий домашних животных
dzh2_3,Лапомойки в доме
dzh2_3,Специализированные урны для утилизации отходов жизнедеятельности собак
dzh2_4,
dzh2_4,Ветеринарные клиники
dzh2_4,"Магазины, в которых можно находиться с животными"
dzh2_4,ГрУминг-салоны (уход за животными)
dzh2_4,Специально огороженные площадки для выгула или занятий домашних животных
dzh2_4,Зоомагазины
dzh2_4,"Кафе, в которых можно находиться с животными"
dzh2_4,Специализированные урны для утилизации отходов жизнедеятельности собак
dzh2_4,Стойки с пакетами для уборки за собаками
dzh2_4,Лапомойки в доме
dzh2_5,
dzh2_5,Зоомагазины
dzh2_5,Ветеринарные клиники
dzh2_5,Специально огороженные площадки для выгула или занятий домашних животных
dzh2_5,Специализированные урны для утилизации отходов жизнедеятельности собак
dzh2_5,Лапомойки в доме
dzh2_5,"Магазины, в которых можно находиться с животными"
dzh2_5,Стойки с пакетами для уборки за собаками
dzh2_5,"Кафе, в которых можно находиться с животными"
dzh2_5,ГрУминг-салоны (уход за животными)
dzh2_6,
dzh2_6,Специализированные урны для утилизации отходов жизнедеятельности собак
dzh2_6,"Магазины, в которых можно находиться с животными"
dzh2_6,Ветеринарные клиники
dzh2_6,"Кафе, в которых можно находиться с животными"
dzh2_6,ГрУминг-салоны (уход за животными)
dzh2_6,Специально огороженные площадки для выгула или занятий домашних животных
dzh2_6,Лапомойки в доме
