column,value,label
SEX,Male,male
SEX,Female,female
FO,Central Federal District,central
FO,Southern Federal District,southern
FO,Ural Federal District,ural
FO,Northwestern Federal District,northwestern
FO,Volga Federal District,volga
FO,Siberian Federal District,siberian
FO,North Caucasian Federal District,north_caucasian
FO,Far Eastern Federal District,far_eastern
TIP,Village,village
TIP,City with population less than 50 thousand,city_small
TIP,City with population from 50 thousand to 100 thousand,city_medium
TIP,Urban-type settlement,settlement
TIP,City with population from 100 thousand to 500 thousand,city_large
TIP,City with population from 500 thousand to 950 thousand,city_very_large
TIP,City with population of one million or more,city_megapolis
dzh1_1,Mixed-breed dog,dog_mixed
dzh1_1,"No, no pets",no_pets
dzh1_1,Mixed-breed cat,cat_mixed
dzh1_1,Purebred dog,dog_purebred
dzh1_1,Purebred cat,cat_purebred
dzh1_1,Other,other
dzh1_1," Small animals (hamsters, guinea pigs, turtles, etc.)",small_animals
dzh1_1,"Livestock (chickens, cows, goats, etc.) (from other)",livestock
dzh1_1,Hard to answer,unknown
dzh1_1,"Exotic animals (snakes, lizards, monkeys, crocodiles, etc.)",exotic
dzh1_1,Decorative birds,birds
dzh1_1,Aquarium fish,fish
dzh1_2,,
dzh1_2,Mixed-breed cat,cat_mixed
dzh1_2,Purebred cat,cat_purebred
dzh1_2,Mixed-breed dog,dog_mixed
dzh1_2,Decorative birds,birds
dzh1_2," Small animals (hamsters, guinea pigs, turtles, etc.)",small_animals
dzh1_2,Purebred dog,dog_purebred
dzh1_2,Aquarium fish,fish
dzh1_2,"Livestock (chickens, cows, goats, etc.) (from other)",livestock
dzh1_2,Other,other
dzh1_2,"Exotic animals (snakes, lizards, monkeys, crocodiles, etc.)",exotic
dzh1_3,,
dzh1_3,Purebred dog,dog_purebred
dzh1_3,Purebred cat,cat_purebred
dzh1_3,Other,other
dzh1_3,Mixed-breed cat,cat_mixed
dzh1_3,"Livestock (chickens, cows, goats, etc.) (from other)",livestock
dzh1_3,Decorative birds,birds
dzh1_3," Small animals (hamsters, guinea pigs, turtles, etc.)",small_animals
dzh1_3,Aquarium fish,fish
dzh1_3,Mixed-breed dog,dog_mixed
dzh1_3,"Exotic animals (snakes, lizards, monkeys, crocodiles, etc.)",exotic
dzh1_4,,
dzh1_4,Mixed-breed dog,dog_mixed
dzh1_4,Purebred cat,cat_purebred
dzh1_4,"Livestock (chickens, cows, goats, etc.) (from other)",livestock
dzh1_4," Small animals (hamsters, guinea pigs, turtles, etc.)",small_animals
dzh1_4,Mixed-breed cat,cat_mixed
dzh1_4,Aquarium fish,fish
dzh1_4,Decorative birds,birds
dzh1_4,Purebred dog,dog_purebred
dzh1_4,"Exotic animals (snakes, lizards, monkeys, crocodiles, etc.)",exotic
dzh1_4,Hard to answer,unknown
dzh1_5,,
dzh1_5,Purebred cat,cat_purebred
dzh1_5,Hard to answer,unknown
dzh1_5,"Exotic animals (snakes, lizards, monkeys, crocodiles, etc.)",exotic
dzh1_5," Small animals (hamsters, guinea pigs, turtles, etc.)",small_animals
dzh1_6,,
dzh1_6," Small animals (hamsters, guinea pigs, turtles, etc.)",small_animals
dzh1_6,Mixed-breed cat,cat_mixed
dzh1_6,Decorative birds,birds
dzh1_7,,
dzh1_8,,
dzh1_9,,
dzh1_10,,
dzh1_11,,
dzh1_12,,
dzh2_1,Nothing,nothing
dzh2_1,,
dzh2_1,"Stores where you can be with animals",pet_stores
dzh2_1,Veterinary clinics,vet_clinic
dzh2_1,Pet stores,pet_store
dzh2_1,Specially fenced areas for walking or training pets,dog_park
dzh2_1,Grooming salons (animal care),grooming
dzh2_1,Paw washing stations in the building,paw_wash
dzh2_1,"Cafes where you can be with animals",pet_cafe
dzh2_1,Hard to answer,unknown
dzh2_1,Stands with bags for cleaning up after dogs,bag_stands
dzh2_1,Specialized bins for disposal of dog waste,waste_bins
dzh2_2,,
dzh2_2,Pet stores,pet_store
dzh2_2,Specialized bins for disposal of dog waste,waste_bins
dzh2_2,Grooming salons (animal care),grooming
dzh2_2,"Stores where you can be with animals",pet_stores
dzh2_2,Stands with bags for cleaning up after dogs,bag_stands
dzh2_2,Veterinary clinics,vet_clinic
dzh2_2,Specially fenced areas for walking or training pets,dog_park
dzh2_2,"Cafes where you can be with animals",pet_cafe
dzh2_2,Paw washing stations in the building,paw_wash
dzh2_3,,
dzh2_3,Grooming salons (animal care),grooming
dzh2_3,"Cafes where you can be with animals",pet_cafe
dzh2_3,"Stores where you can be with animals",pet_stores
dzh2_3,Pet stores,pet_store
dzh2_3,Stands with bags for cleaning up after dogs,bag_stands
dzh2_3,Veterinary clinics,vet_clinic
dzh2_3,Specially fenced areas for walking or training pets,dog_park
dzh2_3,Paw washing stations in the building,paw_wash
dzh2_3,Specialized bins for disposal of dog waste,waste_bins
dzh2_4,,
dzh2_4,Veterinary clinics,vet_clinic
dzh2_4,"Stores where you can be with animals",pet_stores
dzh2_4,Grooming salons (animal care),grooming
dzh2_4,Specially fenced areas for walking or training pets,dog_park
dzh2_4,Pet stores,pet_store
dzh2_4,"Cafes where you can be with animals",pet_cafe
dzh2_4,Specialized bins for disposal of dog waste,waste_bins
dzh2_4,Stands with bags for cleaning up after dogs,bag_stands
dzh2_4,Paw washing stations in the building,paw_wash
dzh2_5,,
dzh2_5,Pet stores,pet_store
dzh2_5,Veterinary clinics,vet_clinic
dzh2_5,Specially fenced areas for walking or training pets,dog_park
dzh2_5,Specialized bins for disposal of dog waste,waste_bins
dzh2_5,Paw washing stations in the building,paw_wash
dzh2_5,"Stores where you can be with animals",pet_stores
dzh2_5,Stands with bags for cleaning up after dogs,bag_stands
dzh2_5,"Cafes where you can be with animals",pet_cafe
dzh2_5,Grooming salons (animal care),grooming
dzh2_6,,
dzh2_6,Specialized bins for disposal of dog waste,waste_bins
dzh2_6,"Stores where you can be with animals",pet_stores
dzh2_6,Veterinary clinics,vet_clinic
dzh2_6,"Cafes where you can be with animals",pet_cafe
dzh2_6,Grooming salons (animal care),grooming
dzh2_6,Specially fenced areas for walking or training pets,dog_park
dzh2_6,Paw washing stations in the building,paw_wash
dzh2_6,Stands with bags for cleaning up after dogs,bag_stands
dzh2_6,Pet stores,pet_store
dzh2_7,,
dzh2_7,"Cafes where you can be with animals",pet_cafe
dzh2_7,Grooming salons (animal care),grooming
dzh2_7,Stands with bags for cleaning up after dogs,bag_stands
dzh2_7,Pet stores,pet_store
dzh2_7,Paw washing stations in the building,paw_wash
dzh2_7,Specially fenced areas for walking or training pets,dog_park
dzh2_7,Specialized bins for disposal of dog waste,waste_bins
dzh2_7,Veterinary clinics,vet_clinic
